	depth	names
chr2:178096658-178096659:-	17	D80KHJN1:241:C5HF7ACXX:6:1302:2935:53888,D80KHJN1:241:C5HF7ACXX:6:1313:7160:86967,D80KHJN1:241:C5HF7ACXX:6:1315:15781:4865,D80KHJN1:241:C5HF7ACXX:6:2104:4155:64337,D80KHJN1:241:C5HF7ACXX:6:2104:16986:74412,D80KHJN1:241:C5HF7ACXX:6:2108:7458:15017,D80KHJN1:241:C5HF7ACXX:6:2207:9159:98404,D80KHJN1:241:C5HF7ACXX:6:2208:3183:41692,D80KHJN1:241:C5HF7ACXX:6:1205:3948:44223,D80KHJN1:241:C5HF7ACXX:6:1205:16408:55557,D80KHJN1:241:C5HF7ACXX:6:1108:4831:81160,D80KHJN1:241:C5HF7ACXX:6:1202:11018:22777,D80KHJN1:241:C5HF7ACXX:6:1301:3700:5689,D80KHJN1:241:C5HF7ACXX:6:2111:14197:16588,D80KHJN1:241:C5HF7ACXX:6:2203:3729:98624,D80KHJN1:241:C5HF7ACXX:6:2208:4849:76435,D80KHJN1:241:C5HF7ACXX:6:1116:8012:97811
chr2:242169591-242169592:-	5	D80KHJN1:241:C5HF7ACXX:6:2204:20182:62368,D80KHJN1:241:C5HF7ACXX:6:1203:12878:92704,D80KHJN1:241:C5HF7ACXX:6:2214:16860:35534,D80KHJN1:241:C5HF7ACXX:6:2107:21023:38763,D80KHJN1:241:C5HF7ACXX:6:2305:7444:94351
chr2:88874595-88874596:-	2	D80KHJN1:241:C5HF7ACXX:6:1313:18372:19886,D80KHJN1:241:C5HF7ACXX:6:2311:10450:60292
chr3:128525318-128525319:+	11	D80KHJN1:241:C5HF7ACXX:6:1305:10989:55184,D80KHJN1:241:C5HF7ACXX:6:2206:18144:95218,D80KHJN1:241:C5HF7ACXX:6:2211:4834:80883,D80KHJN1:241:C5HF7ACXX:6:2316:20287:30726,D80KHJN1:241:C5HF7ACXX:6:1314:14013:17878,D80KHJN1:241:C5HF7ACXX:6:1208:3322:47202,D80KHJN1:241:C5HF7ACXX:6:1212:4971:82619,D80KHJN1:241:C5HF7ACXX:6:1216:16858:58415,D80KHJN1:241:C5HF7ACXX:6:2201:4134:70110,D80KHJN1:241:C5HF7ACXX:6:2205:17939:23588,D80KHJN1:241:C5HF7ACXX:6:2211:12170:58895
chr3:194369533-194369534:-	40	D80KHJN1:241:C5HF7ACXX:6:2302:2209:35342,D80KHJN1:241:C5HF7ACXX:6:2208:10540:80670,D80KHJN1:241:C5HF7ACXX:6:2210:10951:55068,D80KHJN1:241:C5HF7ACXX:6:2112:12088:49027,D80KHJN1:241:C5HF7ACXX:6:1206:8859:31663,D80KHJN1:241:C5HF7ACXX:6:1213:16434:23458,D80KHJN1:241:C5HF7ACXX:6:2109:4902:89040,D80KHJN1:241:C5HF7ACXX:6:1103:1562:56448,D80KHJN1:241:C5HF7ACXX:6:2112:20163:23097,D80KHJN1:241:C5HF7ACXX:6:2208:11062:42271,D80KHJN1:241:C5HF7ACXX:6:1102:10506:49644,D80KHJN1:241:C5HF7ACXX:6:1316:19660:67655,D80KHJN1:241:C5HF7ACXX:6:1206:8859:31663,D80KHJN1:241:C5HF7ACXX:6:1108:7383:45435,D80KHJN1:241:C5HF7ACXX:6:2102:5374:87300,D80KHJN1:241:C5HF7ACXX:6:2209:1397:56298,D80KHJN1:241:C5HF7ACXX:6:1102:10349:38760,D80KHJN1:241:C5HF7ACXX:6:1213:16434:23458,D80KHJN1:241:C5HF7ACXX:6:1311:18355:53592,D80KHJN1:241:C5HF7ACXX:6:2112:12088:49027,D80KHJN1:241:C5HF7ACXX:6:1209:20310:61296,D80KHJN1:241:C5HF7ACXX:6:2208:11062:42271,D80KHJN1:241:C5HF7ACXX:6:1209:8936:13880,D80KHJN1:241:C5HF7ACXX:6:2214:15715:56368,D80KHJN1:241:C5HF7ACXX:6:1213:4895:37813,D80KHJN1:241:C5HF7ACXX:6:2302:2209:35342,D80KHJN1:241:C5HF7ACXX:6:1316:19660:67655,D80KHJN1:241:C5HF7ACXX:6:1209:20310:61296,D80KHJN1:241:C5HF7ACXX:6:1102:10506:49644,D80KHJN1:241:C5HF7ACXX:6:1103:1562:56448,D80KHJN1:241:C5HF7ACXX:6:1307:6113:99454,D80KHJN1:241:C5HF7ACXX:6:2114:17695:6698,D80KHJN1:241:C5HF7ACXX:6:1108:7383:45435,D80KHJN1:241:C5HF7ACXX:6:2102:5374:87300,D80KHJN1:241:C5HF7ACXX:6:2112:20163:23097,D80KHJN1:241:C5HF7ACXX:6:2210:10951:55068,D80KHJN1:241:C5HF7ACXX:6:2114:17695:6698,D80KHJN1:241:C5HF7ACXX:6:2106:3004:19522,D80KHJN1:241:C5HF7ACXX:6:2311:6043:99328,D80KHJN1:241:C5HF7ACXX:6:1307:6113:99454
chr5:140960372-140960373:-	4	D80KHJN1:241:C5HF7ACXX:6:2213:10839:21803,D80KHJN1:241:C5HF7ACXX:6:1110:14225:24144,D80KHJN1:241:C5HF7ACXX:6:1314:8642:57684,D80KHJN1:241:C5HF7ACXX:6:2301:2545:3794
chr5:141384649-141384650:-	3	D80KHJN1:241:C5HF7ACXX:6:1114:1921:42679,D80KHJN1:241:C5HF7ACXX:6:1313:20081:21978,D80KHJN1:241:C5HF7ACXX:6:2210:14256:46831
chr6:20483151-20483152:+	29	D80KHJN1:241:C5HF7ACXX:6:1311:18444:2763,D80KHJN1:241:C5HF7ACXX:6:1305:11517:23594,D80KHJN1:241:C5HF7ACXX:6:2103:17014:37096,D80KHJN1:241:C5HF7ACXX:6:1211:13881:32152,D80KHJN1:241:C5HF7ACXX:6:1115:16088:38743,D80KHJN1:241:C5HF7ACXX:6:2205:18258:36546,D80KHJN1:241:C5HF7ACXX:6:2304:7780:77866,D80KHJN1:241:C5HF7ACXX:6:1208:12573:3657,D80KHJN1:241:C5HF7ACXX:6:2211:5059:62841,D80KHJN1:241:C5HF7ACXX:6:1305:11517:23594,D80KHJN1:241:C5HF7ACXX:6:1312:4871:39577,D80KHJN1:241:C5HF7ACXX:6:2103:17014:37096,D80KHJN1:241:C5HF7ACXX:6:1214:8149:28185,D80KHJN1:241:C5HF7ACXX:6:1112:11801:54481,D80KHJN1:241:C5HF7ACXX:6:2314:13469:60113,D80KHJN1:241:C5HF7ACXX:6:1308:14967:55099,D80KHJN1:241:C5HF7ACXX:6:2216:12320:37896,D80KHJN1:241:C5HF7ACXX:6:2314:10212:32209,D80KHJN1:241:C5HF7ACXX:6:2113:19560:9697,D80KHJN1:241:C5HF7ACXX:6:2313:1916:55029,D80KHJN1:241:C5HF7ACXX:6:1214:8149:28185,D80KHJN1:241:C5HF7ACXX:6:1311:18444:2763,D80KHJN1:241:C5HF7ACXX:6:1316:8704:3806,D80KHJN1:241:C5HF7ACXX:6:2310:8557:90455,D80KHJN1:241:C5HF7ACXX:6:2316:18295:92560,D80KHJN1:241:C5HF7ACXX:6:2311:11056:43462,D80KHJN1:241:C5HF7ACXX:6:1315:13008:85017,D80KHJN1:241:C5HF7ACXX:6:2204:13975:75305,D80KHJN1:241:C5HF7ACXX:6:2308:6463:61067
chr8:145139778-145139779:+	31	D80KHJN1:241:C5HF7ACXX:6:1201:10640:81719,D80KHJN1:241:C5HF7ACXX:6:2101:7858:32065,D80KHJN1:241:C5HF7ACXX:6:1104:3455:7131,D80KHJN1:241:C5HF7ACXX:6:1312:19197:64206,D80KHJN1:241:C5HF7ACXX:6:2313:12983:64002,D80KHJN1:241:C5HF7ACXX:6:2206:21072:63022,D80KHJN1:241:C5HF7ACXX:6:1113:8021:15522,D80KHJN1:241:C5HF7ACXX:6:2210:7524:40208,D80KHJN1:241:C5HF7ACXX:6:2214:18898:60456,D80KHJN1:241:C5HF7ACXX:6:1108:19171:92220,D80KHJN1:241:C5HF7ACXX:6:2207:19831:34851,D80KHJN1:241:C5HF7ACXX:6:1108:19171:92220,D80KHJN1:241:C5HF7ACXX:6:1202:1857:68957,D80KHJN1:241:C5HF7ACXX:6:1107:5000:76379,D80KHJN1:241:C5HF7ACXX:6:1201:10640:81719,D80KHJN1:241:C5HF7ACXX:6:2214:18898:60456,D80KHJN1:241:C5HF7ACXX:6:2216:14385:9132,D80KHJN1:241:C5HF7ACXX:6:2313:12983:64002,D80KHJN1:241:C5HF7ACXX:6:1108:18365:6637,D80KHJN1:241:C5HF7ACXX:6:2214:9323:9770,D80KHJN1:241:C5HF7ACXX:6:1306:6266:37079,D80KHJN1:241:C5HF7ACXX:6:1311:13123:32904,D80KHJN1:241:C5HF7ACXX:6:1205:20450:68713,D80KHJN1:241:C5HF7ACXX:6:2210:20861:10725,D80KHJN1:241:C5HF7ACXX:6:2101:7858:32065,D80KHJN1:241:C5HF7ACXX:6:2102:9305:74557,D80KHJN1:241:C5HF7ACXX:6:2212:11336:98807,D80KHJN1:241:C5HF7ACXX:6:1215:7393:27929,D80KHJN1:241:C5HF7ACXX:6:2105:2949:22511,D80KHJN1:241:C5HF7ACXX:6:1208:15527:56686,D80KHJN1:241:C5HF7ACXX:6:2207:19831:34851
chr9:108151389-108151390:+	3	D80KHJN1:241:C5HF7ACXX:6:1208:8246:46846,D80KHJN1:241:C5HF7ACXX:6:2316:10009:74933,D80KHJN1:241:C5HF7ACXX:6:2203:11497:78046
chr9:127631718-127631719:+	34	D80KHJN1:241:C5HF7ACXX:6:1301:9075:73000,D80KHJN1:241:C5HF7ACXX:6:1209:12707:56763,D80KHJN1:241:C5HF7ACXX:6:2104:13851:57031,D80KHJN1:241:C5HF7ACXX:6:1105:12470:97109,D80KHJN1:241:C5HF7ACXX:6:2202:2859:72431,D80KHJN1:241:C5HF7ACXX:6:2202:16100:45275,D80KHJN1:241:C5HF7ACXX:6:2316:3907:20277,D80KHJN1:241:C5HF7ACXX:6:1104:16855:67650,D80KHJN1:241:C5HF7ACXX:6:1303:15703:84221,D80KHJN1:241:C5HF7ACXX:6:1314:7760:37963,D80KHJN1:241:C5HF7ACXX:6:1214:6528:2401,D80KHJN1:241:C5HF7ACXX:6:1108:1239:96809,D80KHJN1:241:C5HF7ACXX:6:2310:19879:52072,D80KHJN1:241:C5HF7ACXX:6:1314:7760:37963,D80KHJN1:241:C5HF7ACXX:6:2211:13338:58119,D80KHJN1:241:C5HF7ACXX:6:1103:10373:3582,D80KHJN1:241:C5HF7ACXX:6:1305:8898:37090,D80KHJN1:241:C5HF7ACXX:6:1104:16855:67650,D80KHJN1:241:C5HF7ACXX:6:1307:11645:39733,D80KHJN1:241:C5HF7ACXX:6:1311:13311:47394,D80KHJN1:241:C5HF7ACXX:6:2206:17097:80928,D80KHJN1:241:C5HF7ACXX:6:2301:4709:80329,D80KHJN1:241:C5HF7ACXX:6:1311:13311:47394,D80KHJN1:241:C5HF7ACXX:6:1102:9710:17652,D80KHJN1:241:C5HF7ACXX:6:1105:12470:97109,D80KHJN1:241:C5HF7ACXX:6:1214:6528:2401,D80KHJN1:241:C5HF7ACXX:6:1113:7265:48146,D80KHJN1:241:C5HF7ACXX:6:1102:9710:17652,D80KHJN1:241:C5HF7ACXX:6:2202:16100:45275,D80KHJN1:241:C5HF7ACXX:6:2202:2859:72431,D80KHJN1:241:C5HF7ACXX:6:2301:4709:80329,D80KHJN1:241:C5HF7ACXX:6:1102:8745:54977,D80KHJN1:241:C5HF7ACXX:6:2216:1593:43265,D80KHJN1:241:C5HF7ACXX:6:1114:5545:30604
